스트링 인덱스  ID,한국어 텍스트,영어 텍스트,기획용 비고
id,textKor,textEng,note
String,String,String,String
name_hero_corsair,커세어,Corsair,커세어 영웅 이름
name_hero_heavyrain,헤비레인,Heavy Rain,헤비레인 영웅 이름
name_hero_tank,탱크,Tank,탱크 영웅 이름
name_hero_angel,앤젤,Angel,앤젤 영웅 이름
name_hero_tachyon,타키온,Tachyon,타키온 영웅 이름
name_hero_tesla,테슬라,Tesla,테슬라 영웅 이름
desc_hero_corsair,압도적인 가속력으로 전선의 사각을 파고들어 적의 핵심 전력을 단숨에 무력화하는 돌격의 기수입니다,A vanguard of the assault which uses acceleration to penetrate blind spots and neutralize key enemy forces instantly.,커세어 영웅 설명
desc_hero_heavyrain,안전거리 밖에서 적의 진형을 초토화하는 원거리 화력의 정점입니다,The pinnacle of long-range firepower that devastates enemy formations from a safe distance.,헤비레인 영웅 설명
desc_hero_tank,적의 파상공격을 정면으로 받아내며 아군의 진격로를 개척하는 움직이는 요새입니다,A moving fortress that takes enemy waves head-on while clearing a path for allies.,탱크 영웅 설명
desc_hero_angel,나노-리페어 기술로 손상된 아군 유닛을 복구하는 전장의 수호천사입니다,A guardian angel of the battlefield who repairs damaged allied units using nano-repair technology.,앤젤 영웅 설명
desc_hero_tachyon,주무기를 통해 에너지를 모은 뒤 오버클럭 탄환을 발사하여 원거리의 적을 무력화합니다,Charges energy through the main weapon and fires overclocked bullets to neutralize distant enemies.,타키온 영웅 설명
desc_hero_tesla,연쇄적인 피해를 입히는 스킬로 많은 수의 적을 상대로 할 때 유리한 다수전의 스페셜리스트입니다,A specialist in multi-enemy combat which is advantageous against large numbers of enemies due to inflict chain damage.,테슬라 영웅 설명
name_unit_minion,미니언,Minion,미니언 이름
name_unit_superminion,강화 미니언,Super Minion,강화미니언 이름
name_unit_bridge,함교,Bridge,함교 이름
name_unit_tower,포탑,Tower,포탑 이름
desc_unit_minion,미니언 설명입니다,This is a description for the Minion.,미니언 설명
desc_unit_superminion,강화미니언 설명입니다,This is a description for the Super Minion.,강화미니언 설명
desc_unit_bridge,함교 설명입니다,This is a description for the Bridge.,함교 설명
desc_unit_tower,포탑 설명입니다,This is a description for the Tower.,포탑 설명
skill_name_corsair,소닉 스트라이크,Sonic Strike,커세어 기본 스킬 이름
skill_name_heavyrain,포톤 레인,Photon Rain,헤비레인 기본 스킬 이름
skill_name_tank,포스 실드,Force Shield,탱크 기본 스킬 이름
skill_name_angel,나노봇 투여,Nanobot Injection,앤젤 기본 스킬 이름
skill_name_tachyon,오버클럭 샷,Overclock Shot,타키온 기본 스킬 이름
skill_name_tesla,아크 방전,Arc Discharge,테슬라 기본 스킬 이름
skill_desc_corsair,적 1명에게 돌진 후 단일 피해를 입힌다,Dashes to a single enemy and deals damage.,커세어 기본 스킬 설명
skill_desc_heavyrain,레이저를 단일 대상에게 3회 발사한다,Fires lasers 3 times at a single target.,헤비레인 기본 스킬 설명
skill_desc_tank,5초간 본인의 받는 피해량이 15% 감소한다,Reduces damage taken by 20% for 5 seconds.,탱크 기본 스킬 설명
skill_desc_angel,본인을 제외한 아군 영웅 한 명의 체력을 회복시킨다,Heals one allied hero except yourself.,앤젤 기본 스킬 설명
skill_desc_tachyon,기본 공격 3회마다 멀리 있는 적에게 강화된 공격을 발사한다,Fires an enhanced attack at a distant enemy every 3 basic attacks.,타키온 기본 스킬 설명
